time,A1,B1,C1,D1,E1,F1,G1,H1,A2,B2,C2,D2,E2,F2,G2,H2,A3,B3,C3,D3,E3,F3,G3,H3,A4,B4,C4,D4,E4,F4,G4,H4,A5,B5,C5,D5,E5,F5,G5,H5,A6,B6,C6,D6,E6,F6,G6,H6,A7,B7,C7,D7,E7,F7,G7,H7,A8,B8,C8,D8,E8,F8,G8,H8,A9,B9,C9,D9,E9,F9,G9,H9,A10,B10,C10,D10,E10,F10,G10,H10,A11,B11,C11,D11,E11,F11,G11,H11,A12,B12,C12,D12,E12,F12,G12,H12,
6,0.1837,0.1736,0.1042,0.1551,0.0883,0.1664,0.1198,0.1732,0.1891,0.1886,0.167,0.1908,0.1459,0.1664,0.1356,0.147,0.1935,0.1896,0.1749,0.1824,0.1565,0.16,0.1472,0.1538,,,,,,,,,,,,,,,,,,,,,,,,,0.2032,0.1986,0.1884,0.1863,0.166,0.1698,0.149,0.1495,0.2067,0.1907,0.1981,0.1985,0.1723,0.1567,0.1467,0.1602,0.2028,0.1329,0.1772,0.1559,0.1576,0.1177,0.1437,0.1202,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,0.2299,0.2098,0.1824,0.2229,0.1494,0.1705,0.1285,0.1677,0.2311,0.2134,0.2012,0.2303,0.1875,0.1646,0.1665,0.1643,0.232,0.2132,0.2152,0.2269,0.1921,0.1752,0.1579,0.1576,,,,,,,,,,,,,,,,,,,,,,,,,0.224,0.2069,0.2096,0.229,0.1854,0.175,0.1655,0.1699,0.2123,0.2102,0.2046,0.2254,0.1838,0.1731,0.1635,0.1733,0.2033,0.1723,0.1878,0.168,0.1692,0.1348,0.1609,0.1548,
8,0.2553,0.2056,0.1935,0.2298,0.1213,0.185,0.132,0.1791,0.2717,0.2267,0.2385,0.2405,0.1857,0.1785,0.1571,0.1885,0.2728,0.2369,0.2494,0.2607,0.2037,0.2031,0.1847,0.1812,,,,,,,,,,,,,,,,,,,,,,,,,0.2836,0.2573,0.2605,0.26,0.2211,0.1965,0.1821,0.1981,0.2747,0.2599,0.2549,0.2821,0.221,0.1969,0.1801,0.1839,0.2727,0.1746,0.2539,0.2172,0.2126,0.1414,0.181,0.1248,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,0.3461,0.2904,0.28,0.3253,0.1988,0.1969,0.1519,0.1983,0.3363,0.3043,0.3057,0.3209,0.2382,0.2018,0.1893,0.1921,0.3355,0.3078,0.3173,0.3278,0.2437,0.2075,0.1848,0.2038,,,,,,,,,,,,,,,,,,,,,,,,,0.3217,0.2879,0.2928,0.3158,0.2347,0.2135,0.1935,0.1963,0.3,0.2971,0.2813,0.3137,0.2312,0.2165,0.1848,0.1985,0.3041,0.2738,0.2741,0.2968,0.2191,0.1801,0.1817,0.1891,
10,0.3863,0.3492,0.3278,0.3642,0.2305,0.2253,0.1581,0.2049,0.3912,0.3571,0.3564,0.3626,0.251,0.2398,0.2158,0.2325,0.3972,0.362,0.3781,0.3971,0.2911,0.2515,0.2269,0.2475,,,,,,,,,,,,,,,,,,,,,,,,,0.3868,0.366,0.3462,0.3554,0.3034,0.2749,0.2494,0.2748,0.362,0.3713,0.3575,0.3796,0.3093,0.2849,0.2611,0.2697,0.3652,0.2998,0.3595,0.317,0.2999,0.2175,0.242,0.2096,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,0.456,0.4217,0.3801,0.4378,0.3259,0.3087,0.2615,0.3152,0.4561,0.429,0.4041,0.4457,0.3752,0.3261,0.3071,0.3238,0.4496,0.4361,0.4069,0.4427,0.3847,0.3313,0.3025,0.3219,,,,,,,,,,,,,,,,,,,,,,,,,0.4008,0.3987,0.3834,0.4019,0.339,0.3255,0.3088,0.3212,0.4001,0.4118,0.378,0.3986,0.3425,0.3213,0.2996,0.3267,0.3901,0.3709,0.3703,0.3759,0.3313,0.2889,0.2831,0.2825,
12,0.4635,0.4326,0.399,0.4537,0.3724,0.3388,0.2988,0.3415,0.4615,0.4598,0.4278,0.4611,0.3804,0.347,0.3543,0.3677,0.4575,0.4686,0.4132,0.4547,0.4019,0.3641,0.3411,0.3813,,,,,,,,,,,,,,,,,,,,,,,,,0.394,0.4137,0.3775,0.3837,0.3737,0.3514,0.3362,0.3499,0.4215,0.4263,0.3984,0.3796,0.3708,0.3086,0.3467,0.3605,0.4038,0.3836,0.3945,0.3572,0.3621,0.3014,0.3395,0.3312,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,0.4735,0.3305,0.4166,0.466,0.4137,0.419,0.4049,0.4127,0.4796,0.4679,0.4319,0.4654,0.4443,0.4324,0.4219,0.4267,0.4752,0.4676,0.4324,0.4783,0.4433,0.4422,0.4064,0.4359,,,,,,,,,,,,,,,,,,,,,,,,,0.4333,0.4365,0.3827,0.4106,0.3858,0.394,0.3832,0.386,0.4251,0.452,0.4183,0.4227,0.3762,0.3932,0.3768,0.3884,0.4311,0.4451,0.4086,0.4156,0.3748,0.3575,0.3635,0.379,
14,0.4929,0.4632,0.322,0.455,0.3898,0.4184,0.387,0.4183,0.4736,0.4816,0.4389,0.4836,0.3893,0.4246,0.4085,0.3956,0.4824,0.4952,0.4305,0.4887,0.4445,0.4276,0.4307,0.4405,,,,,,,,,,,,,,,,,,,,,,,,,0.4549,0.47,0.423,0.4337,0.3947,0.3969,0.4379,0.3698,0.442,0.4475,0.4276,0.4462,0.3878,0.4074,0.4119,0.4091,0.4401,0.4341,0.3771,0.3943,0.4057,0.3838,0.4078,0.3907,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,0.4979,0.4848,0.4441,0.4782,0.4418,0.4518,0.4429,0.4539,0.5072,0.478,0.4587,0.4834,0.4653,0.4609,0.4588,0.4597,0.5241,0.5366,0.487,0.5367,0.5037,0.4964,0.4187,0.5121,,,,,,,,,,,,,,,,,,,,,,,,,0.4634,0.4688,0.4491,0.4359,0.3995,0.4019,0.4155,0.3927,0.4381,0.4771,0.4208,0.4313,0.3972,0.4171,0.4053,0.418,0.4391,0.4244,0.4253,0.398,0.3961,0.3972,0.3909,0.4034,
